repository_id,provider_trajectories,raw_records,canonical_events,event_expansion_ratio,repo_name,run_duration_sec
aligned-models-exasperati-claude,1,480,480,1.0,aligned-models-exasperati-claude,4953.894382
alignment-watermark-0988-claude,1,152,152,1.0,alignment-watermark-0988-claude,
alignment-watermark-claude,1,715,715,1.0,alignment-watermark-claude,4218.086891
all-words-phrases-nlp-claude,1,325,325,1.0,all-words-phrases-nlp-claude,2402.735612
already-present-beliefs-ea16-codex,1,184,163,0.8858695652173914,already-present-beliefs-ea16-codex,2013.334058
anchoring-bias-lookback-claude,1,649,649,1.0,anchoring-bias-lookback-claude,3014.022125
arch-specific-data-claude,1,474,474,1.0,arch-specific-data-claude,5257.704102
architectural_diversity_in_mul_20260306_214906_8d1e21a6,1,365,365,1.0,architectural_diversity_in_mul_20260306_214906_8d1e21a6,3792.499909
artificial-outsiders-nlp-9b1b-claude,1,944,944,1.0,artificial-outsiders-nlp-9b1b-claude,6670.653463
artificial-outsiders-nlp-claude,1,813,813,1.0,artificial-outsiders-nlp-claude,3140.391786
attention-for-ai-bc53-codex,2,512,512,1.0,attention-for-ai-bc53-codex,1638.203536
attention-for-ai-f38a-gemini,1,207,207,1.0,attention-for-ai-f38a-gemini,1003.224066
attention-in-ai-d12f-claude,1,226,226,1.0,attention-in-ai-d12f-claude,1866.673634
auto-opt-pde-solver-65e0,1,304,304,1.0,auto-opt-pde-solver-65e0,
auto-opt-pde-solver-claude,1,0,0,,auto-opt-pde-solver-claude,
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,1,352,352,1.0,autonomous_multi_modal_ai_agen_20260306_222539_298f467e,2287.756452
base-vs-instruct-models-9ebe-codex,1,371,343,0.9245283018867925,base-vs-instruct-models-9ebe-codex,2064.618269
base-vs-instruct-models-d3a1-gemini,1,211,211,1.0,base-vs-instruct-models-d3a1-gemini,1326.39027
base-vs-instruct-models-d95a-claude,1,492,432,0.8780487804878049,base-vs-instruct-models-d95a-claude,4632.593817
basis-vectors-persona-03ae-claude,1,310,310,1.0,basis-vectors-persona-03ae-claude,
basis-vectors-persona-4079-gemini,1,493,493,1.0,basis-vectors-persona-4079-gemini,
basis-vectors-persona-7acf-codex,1,336,335,0.9970238095238095,basis-vectors-persona-7acf-codex,
basis-vectors-persona-claude,1,737,737,1.0,basis-vectors-persona-claude,2767.172371
can-powerful-models-help-with-difficult-3a0f-codex,1,231,200,0.8658008658008658,can-powerful-models-help-with-difficult-3a0f-codex,2368.905292
can-self-report-training-help-lie-de4e-codex,1,220,194,0.8818181818181818,can-self-report-training-help-lie-de4e-codex,3028.59063
can_self_report_training_help__20260728_230205_15848d12,1,1378,1282,0.93033381712627,can_self_report_training_help__20260728_230205_15848d12,4643.754738
careful-llm-words-4e0d-codex,1,287,287,1.0,careful-llm-words-4e0d-codex,
careful-llm-words-aaec-claude,1,438,438,1.0,careful-llm-words-aaec-claude,
careful-llm-words-c365-gemini,1,304,304,1.0,careful-llm-words-c365-gemini,
careful-llm-words-claude,1,470,470,1.0,careful-llm-words-claude,5313.502003
carrot-or-stick-nlp-1462-claude,1,394,394,1.0,carrot-or-stick-nlp-1462-claude,
carrot-or-stick-nlp-codex,1,509,500,0.9823182711198428,carrot-or-stick-nlp-codex,
carrot-or-stick-nlp-e135-claude,1,410,410,1.0,carrot-or-stick-nlp-e135-claude,
carrot-or-stick-nlp-gemini,1,404,404,1.0,carrot-or-stick-nlp-gemini,
cefr-text-difficulty-0907-claude,1,473,473,1.0,cefr-text-difficulty-0907-claude,
chain-of-thought-conv-1189-codex,1,307,307,1.0,chain-of-thought-conv-1189-codex,
chain-of-thought-conv-b564-claude,1,678,678,1.0,chain-of-thought-conv-b564-claude,
chain-of-thought-conv-claude,1,452,452,1.0,chain-of-thought-conv-claude,6294.029197
chat-convergence-claude,1,320,320,1.0,chat-convergence-claude,9489.130717
cognitive-semi-groups-b2bf-claude,1,342,342,1.0,cognitive-semi-groups-b2bf-claude,1637.679802
collab-disagreement-claude,1,0,0,,collab-disagreement-claude,
collab-disagreement-codex,1,365,363,0.9945205479452055,collab-disagreement-codex,
collab-disagreement-gemini,1,291,291,1.0,collab-disagreement-gemini,
collab-rlvr-reasoning-f8bd-claude,1,455,455,1.0,collab-rlvr-reasoning-f8bd-claude,
compositional-directions-17d5-claude,1,541,541,1.0,compositional-directions-17d5-claude,3123.983766
compositional-directions-cf35-gemini,1,455,455,1.0,compositional-directions-cf35-gemini,2012.769173
compositional-directions-claude,1,367,367,1.0,compositional-directions-claude,2028.229816
compositional-directions-fe75-codex,1,248,246,0.9919354838709677,compositional-directions-fe75-codex,2152.743473
cond-steering-vectors-claude,1,763,763,1.0,cond-steering-vectors-claude,3033.726912
constrain-llm-behavior-codex,1,281,280,0.99644128113879,constrain-llm-behavior-codex,
context-heavy-personas-claude,1,436,436,1.0,context-heavy-personas-claude,3150.669657
convergence-coherence-4256-claude,1,421,421,1.0,convergence-coherence-4256-claude,2092.574419
coordination-ai-game-claude,1,669,669,1.0,coordination-ai-game-claude,11429.939802
counter-example-machine-claude,1,305,305,1.0,counter-example-machine-claude,3667.193142
covariance-belief-space-claude,1,258,258,1.0,covariance-belief-space-claude,1610.362211
cross-comp-reps-claude,1,315,315,1.0,cross-comp-reps-claude,2610.974509
debate-proof-strategies-1084-claude,1,261,261,1.0,debate-proof-strategies-1084-claude,1530.547452
detecting-lies-nlp-3065-codex,1,221,221,1.0,detecting-lies-nlp-3065-codex,1819.455049
detecting-lies-nlp-777f-gemini,1,426,426,1.0,detecting-lies-nlp-777f-gemini,1939.132165
detecting-lies-nlp-c886-claude,1,551,551,1.0,detecting-lies-nlp-c886-claude,7722.967412
diagnosing-experimental-insensitivity-c74f,1,2088,1940,0.9291187739463601,diagnosing-experimental-insensitivity-c74f,11951.563999
dialing-up-misalignment-systematic-c2b3,1,0,0,,dialing-up-misalignment-systematic-c2b3,0.484796
diluted-steganography-9471-claude,1,447,447,1.0,diluted-steganography-9471-claude,3245.326565
diluted-steganography-b649-gemini,1,348,348,1.0,diluted-steganography-b649-gemini,957.087094
diluted-steganography-nlp-9907-codex,1,377,349,0.9257294429708223,diluted-steganography-nlp-9907-codex,2736.563499
direction-conflation-claude,1,261,261,1.0,direction-conflation-claude,1940.449393
disorder-order-sync-205e-claude,1,603,603,1.0,disorder-order-sync-205e-claude,
dist-shift-curriculum-claude,1,827,827,1.0,dist-shift-curriculum-claude,7997.389661
distinct-persona-ai-12e6-claude,1,361,337,0.9335180055401662,distinct-persona-ai-12e6-claude,7142.266603
distinct-persona-ai-5094-codex,1,321,297,0.9252336448598131,distinct-persona-ai-5094-codex,1734.6285
distinct-persona-ai-b685-gemini,1,291,291,1.0,distinct-persona-ai-b685-gemini,1558.79505
drama-types-ai-58c0-codex,1,646,604,0.934984520123839,drama-types-ai-58c0-codex,2537.68581
drama-types-ai-e4ac-claude,1,750,708,0.944,drama-types-ai-e4ac-claude,72344.445512
emergent-alignment-llm-b11c-claude,1,313,313,1.0,emergent-alignment-llm-b11c-claude,3251.643111
emergent-misalignment-13b1-claude,1,841,841,1.0,emergent-misalignment-13b1-claude,
emergent-misalignment-claude,1,212,212,1.0,emergent-misalignment-claude,
emergent_adversarial_prompt_in_20260728_195215_54394617,1,3,3,1.0,emergent_adversarial_prompt_in_20260728_195215_54394617,191.603753
emergent_collective_intelligen_20260729_001254_501032ff,1,0,0,,emergent_collective_intelligen_20260729_001254_501032ff,3.001011
emergent_robustness_to_adversa_20260307_082630_b330f08b,1,310,310,1.0,emergent_robustness_to_adversa_20260307_082630_b330f08b,1985.293182
error-extrapolation-1820-claude,1,415,380,0.9156626506024096,error-extrapolation-1820-claude,32946.672484
error-extrapolation-6a30-codex,1,592,574,0.9695945945945946,error-extrapolation-6a30-codex,3629.073806
error-extrapolation-d0c9-gemini,1,308,308,1.0,error-extrapolation-d0c9-gemini,2405.800337
error-propagation-proof-4a91-claude,1,316,316,1.0,error-propagation-proof-4a91-claude,3448.350134
evolved-desire-llms-claude,1,690,690,1.0,evolved-desire-llms-claude,11000.205138
evolved-desire-llms-codex,1,297,295,0.9932659932659933,evolved-desire-llms-codex,
evolved-desire-llms-gemini,1,281,281,1.0,evolved-desire-llms-gemini,
evolving-forecasters-claude,1,478,478,1.0,evolving-forecasters-claude,3974.357333
factoring-friendly-assist-claude,1,452,452,1.0,factoring-friendly-assist-claude,1537.705291
factorio-social-ai-claude,1,484,484,1.0,factorio-social-ai-claude,3126.354051
fairness-llm-calibration-0618-claude,1,374,374,1.0,fairness-llm-calibration-0618-claude,
false-memories-llm-claude,1,625,625,1.0,false-memories-llm-claude,1807.859768
find-vars-nlp-claude,1,906,906,1.0,find-vars-nlp-claude,4345.651799
finetune-saturation-claude,1,524,524,1.0,finetune-saturation-claude,8055.010199
finetuning-proof-datasets-claude,1,628,628,1.0,finetuning-proof-datasets-claude,8559.286158
fix-lazy-llms-claude,1,297,297,1.0,fix-lazy-llms-claude,
fix-lazy-llms-codex,1,338,337,0.9970414201183432,fix-lazy-llms-codex,
fix-lazy-llms-f21e-claude,1,553,553,1.0,fix-lazy-llms-f21e-claude,
fix-lazy-llms-gemini,1,532,532,1.0,fix-lazy-llms-gemini,
fix-user-intent-nlp-claude,1,447,447,1.0,fix-user-intent-nlp-claude,
fix-user-intent-nlp-codex,1,440,425,0.9659090909090909,fix-user-intent-nlp-codex,
fixed-points-of-ai-revision-a756,1,541,492,0.9094269870609981,fixed-points-of-ai-revision-a756,13634.501905
fixing-user-intent-gemini,1,656,656,1.0,fixing-user-intent-gemini,
french-model-count-debc-claude,1,420,420,1.0,french-model-count-debc-claude,2141.856318
french-model-counting-9f9d-codex,1,203,201,0.9901477832512315,french-model-counting-9f9d-codex,2433.767469
french-model-counting-ae53-claude,1,421,421,1.0,french-model-counting-ae53-claude,
function-vectors-nlp-2537-codex,1,218,213,0.9770642201834863,function-vectors-nlp-2537-codex,1728.9469
function-vectors-nlp-299e-gemini,1,280,280,1.0,function-vectors-nlp-299e-gemini,4830.436259
function-vectors-nlp-d7c3-claude,1,617,617,1.0,function-vectors-nlp-d7c3-claude,7964.010062
gatekeeping-signaling-f85b-claude,1,605,562,0.9289256198347108,gatekeeping-signaling-f85b-claude,2316.828101
generalization-refusal-f437-claude,1,783,783,1.0,generalization-refusal-f437-claude,12768.748643
generalization-refusal-f96b-codex,2,837,819,0.978494623655914,generalization-refusal-f96b-codex,24615.191211
generalize-refusal-76f7-gemini,1,353,353,1.0,generalize-refusal-76f7-gemini,6416.896166
geom-loss-landscapes-cdfb-claude,1,557,557,1.0,geom-loss-landscapes-cdfb-claude,5365.443601
granular-deletes-nlp-claude,1,547,547,1.0,granular-deletes-nlp-claude,1782.017278
grounded-novelty-ai-5114-codex,1,436,407,0.9334862385321101,grounded-novelty-ai-5114-codex,2599.372313
grounded-novelty-ai-69c6-claude,1,1701,1608,0.9453262786596119,grounded-novelty-ai-69c6-claude,2927.667014
grounded-novelty-ai-6ac8-claude,1,1463,1372,0.937799043062201,grounded-novelty-ai-6ac8-claude,3155.077173
hard-to-describe-dir-claude,1,261,261,1.0,hard-to-describe-dir-claude,2695.65663
hashmap-attention-5994-claude,1,501,470,0.93812375249501,hashmap-attention-5994-claude,2838.370687
hidden-misalignment-llm-6ab7-claude,1,810,810,1.0,hidden-misalignment-llm-6ab7-claude,3133.379098
hidden-state-storage-claude,1,486,486,1.0,hidden-state-storage-claude,10500.221194
hide-prompts-length-gemini,1,233,233,1.0,hide-prompts-length-gemini,
higher-level-implicit-claude,1,574,574,1.0,higher-level-implicit-claude,2799.114372
hilbert-nullstellensatz-d241-codex,1,330,293,0.8878787878787879,hilbert-nullstellensatz-d241-codex,1410.184011
how_do_we_make_sure_skills_sel_20260715_033947_a0801865,1,1268,1190,0.9384858044164038,how_do_we_make_sure_skills_sel_20260715_033947_a0801865,3356.377014
humor-recognition-llm-ca34-claude,1,361,361,1.0,humor-recognition-llm-ca34-claude,
humor-recognition-llm-claude,1,1030,1030,1.0,humor-recognition-llm-claude,5873.874729
humor-recognition-llm-gemini,1,391,391,1.0,humor-recognition-llm-gemini,
icl-finetune-gap-0331-claude,1,1246,1169,0.9382022471910112,icl-finetune-gap-0331-claude,5471.707114
icl-finetune-scale-398c-codex,1,545,507,0.9302752293577982,icl-finetune-scale-398c-codex,2544.987139
incontext-if-then-2dae-claude,1,636,636,1.0,incontext-if-then-2dae-claude,4269.933183
incontext-if-then-31c6-codex,1,189,189,1.0,incontext-if-then-31c6-codex,2344.568167
inctx-if-then-capacity-6ce0-gemini,1,350,350,1.0,inctx-if-then-capacity-6ce0-gemini,2044.16987
inctx-if-then-capacity-claude,1,279,279,1.0,inctx-if-then-capacity-claude,2556.444172
induction-head-leakage-36ef-gemini,1,403,403,1.0,induction-head-leakage-36ef-gemini,1032.485366
induction-head-leakage-8afa-codex,1,250,240,0.96,induction-head-leakage-8afa-codex,63466.344783
induction-head-leakage-9a37-claude,1,931,931,1.0,induction-head-leakage-9a37-claude,3433.497797
info-in-out-genai-claude,1,609,609,1.0,info-in-out-genai-claude,2100.744874
instruct-story-mix-claude,1,636,636,1.0,instruct-story-mix-claude,4727.432862
interp-incongruent-3e42-gemini,1,392,392,1.0,interp-incongruent-3e42-gemini,1383.387037
interp-incongruent-48af-claude,1,567,567,1.0,interp-incongruent-48af-claude,2856.950225
interp-incongruent-79b3-codex,1,401,382,0.9526184538653366,interp-incongruent-79b3-codex,2909.409524
invertible-lm-output-claude,1,796,796,1.0,invertible-lm-output-claude,2797.499976
isolate-knowledge-updates-claude,1,325,325,1.0,isolate-knowledge-updates-claude,1926.871942
isolate-knowledge-updates-codex,1,369,368,0.997289972899729,isolate-knowledge-updates-codex,
isolate-knowledge-updates-f3cd-claude,1,401,401,1.0,isolate-knowledge-updates-f3cd-claude,
isolate-knowledge-updates-gemini,1,1011,1011,1.0,isolate-knowledge-updates-gemini,
jacobson-commutativity-3-36c0-codex,1,412,363,0.8810679611650486,jacobson-commutativity-3-36c0-codex,1988.219619
keep-base-models-claude,1,959,959,1.0,keep-base-models-claude,6543.481149
latent-visual-reasoning-claude,1,0,0,,latent-visual-reasoning-claude,
latent-visual-reasoning-codex,1,312,310,0.9935897435897436,latent-visual-reasoning-codex,
latent-visual-reasoning-gemini,1,724,724,1.0,latent-visual-reasoning-gemini,
layer-wise-probing-llm-dcd0-claude,1,944,944,1.0,layer-wise-probing-llm-dcd0-claude,
layer-wise-probing-llm-ece7-codex,1,398,398,1.0,layer-wise-probing-llm-ece7-codex,
layernorm-concept-assoc-65c1-codex,1,398,373,0.9371859296482412,layernorm-concept-assoc-65c1-codex,1714.585347
layernorm-concept-assoc-8ff1-gemini,1,163,163,1.0,layernorm-concept-assoc-8ff1-gemini,1247.762225
layernorm-concept-assoc-dbdc-claude,1,932,844,0.9055793991416309,layernorm-concept-assoc-dbdc-claude,6472.221959
leading-personas-nlp-claude,1,784,784,1.0,leading-personas-nlp-claude,8938.988877
less-ai-sounding-claude,1,739,739,1.0,less-ai-sounding-claude,5033.430522
live-salmon-ai-test-19cc-claude,1,355,355,1.0,live-salmon-ai-test-19cc-claude,2494.475072
live-salmon-ai-test-4361-gemini,1,186,186,1.0,live-salmon-ai-test-4361-gemini,1690.833578
live-salmon-ai-test-7d56-codex,1,279,274,0.982078853046595,live-salmon-ai-test-7d56-codex,3372.132738
llm-behavior-constraints-claude,1,0,0,,llm-behavior-constraints-claude,
llm-blindspot-priorities-60de-claude,1,748,690,0.9224598930481284,llm-blindspot-priorities-60de-claude,2535.958885
llm-bullying-analysis-9159-claude,1,480,480,1.0,llm-bullying-analysis-9159-claude,5841.477777
llm-bullying-analysis-9ffe-gemini,1,260,260,1.0,llm-bullying-analysis-9ffe-gemini,1620.218395
llm-bullying-analysis-claude,1,605,605,1.0,llm-bullying-analysis-claude,4561.628261
llm-bullying-detection-e4d9-codex,1,302,295,0.9768211920529801,llm-bullying-detection-e4d9-codex,3262.384206
llm-complex-patterns-claude,1,379,379,1.0,llm-complex-patterns-claude,1958.519104
llm-consciousness-info-claude,1,273,273,1.0,llm-consciousness-info-claude,2539.00774
llm-coverage-efficiency-claude,1,883,883,1.0,llm-coverage-efficiency-claude,4667.37053
llm-death-thoughts-89b7-codex,1,383,359,0.9373368146214099,llm-death-thoughts-89b7-codex,2476.533451
llm-death-thoughts-b7a5-claude,1,529,508,0.9603024574669187,llm-death-thoughts-b7a5-claude,2559.568958
llm-death-thoughts-cdac-gemini,1,222,222,1.0,llm-death-thoughts-cdac-gemini,1177.200905
llm-epistemic-belief-claude,1,0,0,,llm-epistemic-belief-claude,
llm-epistemic-beliefs-79a0-claude,1,412,412,1.0,llm-epistemic-beliefs-79a0-claude,
llm-fallacy-detection-4626-claude,1,448,448,1.0,llm-fallacy-detection-4626-claude,4930.580855
llm-forecasting-3be2-codex,1,285,271,0.9508771929824561,llm-forecasting-3be2-codex,1143.523147
llm-forecasting-cd55-claude,1,809,732,0.9048207663782447,llm-forecasting-cd55-claude,81650.922358
llm-forecasting-ea39-gemini,1,239,239,1.0,llm-forecasting-ea39-gemini,1272.708366
llm-forget-better-claude,1,575,575,1.0,llm-forget-better-claude,4511.746442
llm-human-vs-llm-54c9-claude,1,275,275,1.0,llm-human-vs-llm-54c9-claude,
llm-human-vs-llm-fa51-claude,1,303,303,1.0,llm-human-vs-llm-fa51-claude,
llm-human-vs-llm-ffea-gemini,1,200,200,1.0,llm-human-vs-llm-ffea-gemini,
llm-intrusive-thoughts-claude,1,638,638,1.0,llm-intrusive-thoughts-claude,8117.190136
llm-judgment-effect-fa08-gemini,1,206,206,1.0,llm-judgment-effect-fa08-gemini,3739.159846
llm-judgment-impact-7e69-codex,1,272,249,0.9154411764705882,llm-judgment-impact-7e69-codex,2490.629993
llm-judgment-impact-9fb4-claude,1,535,498,0.930841121495327,llm-judgment-impact-9fb4-claude,4777.705103
llm-keeping-secrets-claude,1,615,615,1.0,llm-keeping-secrets-claude,2971.469755
llm-keeping-secrets-gemini,1,388,388,1.0,llm-keeping-secrets-gemini,
llm-linguistic-eval-62f9-gemini,2,364,364,1.0,llm-linguistic-eval-62f9-gemini,
llm-linguistic-eval-bb29-claude,1,284,284,1.0,llm-linguistic-eval-bb29-claude,
llm-linguistic-eval-dad4-claude,1,415,415,1.0,llm-linguistic-eval-dad4-claude,
llm-loopholes-research-1dc8-gemini,1,155,155,1.0,llm-loopholes-research-1dc8-gemini,977.326126
llm-loopholes-research-570f-claude,1,864,774,0.8958333333333334,llm-loopholes-research-570f-claude,4620.866486
llm-loopholes-research-9e63-codex,1,434,413,0.9516129032258065,llm-loopholes-research-9e63-codex,1949.270603
llm-multi-person-id-1096-claude,1,1327,1230,0.9269027882441597,llm-multi-person-id-1096-claude,5883.564542
llm-multi-person-id-f00b-codex,1,456,439,0.9627192982456141,llm-multi-person-id-f00b-codex,2254.071945
llm-nonsense-commands-claude,1,513,513,1.0,llm-nonsense-commands-claude,2747.791093
llm-nonsense-commands-codex,1,356,354,0.9943820224719101,llm-nonsense-commands-codex,
llm-nonsense-commands-gemini,1,424,424,1.0,llm-nonsense-commands-gemini,
llm-offense-analysis-claude,1,767,767,1.0,llm-offense-analysis-claude,3596.113775
llm-one-pass-ordering-claude,1,365,365,1.0,llm-one-pass-ordering-claude,2000.930584
llm-output-length-claude,1,336,336,1.0,llm-output-length-claude,
llm-output-length-codex,1,329,329,1.0,llm-output-length-codex,
llm-output-length-gemini,1,257,257,1.0,llm-output-length-gemini,
llm-pain-analysis-694e-codex,1,242,242,1.0,llm-pain-analysis-694e-codex,1782.789615
llm-pain-analysis-89e0-gemini,1,599,599,1.0,llm-pain-analysis-89e0-gemini,5895.043534
llm-pain-analysis-claude,1,371,371,1.0,llm-pain-analysis-claude,5007.758028
llm-pain-analysis-eb23-claude,1,668,668,1.0,llm-pain-analysis-eb23-claude,4707.065231
llm-persona-dislike-c0d6-codex,1,295,278,0.9423728813559322,llm-persona-dislike-c0d6-codex,1312.711004
llm-persona-dislike-e5f8-gemini,1,258,258,1.0,llm-persona-dislike-e5f8-gemini,3568.768772
llm-pragmatic-sensitivity-216e-claude,1,884,884,1.0,llm-pragmatic-sensitivity-216e-claude,
llm-priming-sidechan-claude,1,609,609,1.0,llm-priming-sidechan-claude,3440.966896
llm-proof-verification-4ab2-claude,1,548,548,1.0,llm-proof-verification-4ab2-claude,2076.623396
llm-provocations-claude,1,539,539,1.0,llm-provocations-claude,2680.314978
llm-reading-modes-30aa-gemini,1,189,189,1.0,llm-reading-modes-30aa-gemini,1325.892664
llm-reading-modes-af09-codex,1,359,338,0.9415041782729805,llm-reading-modes-af09-codex,4040.895571
llm-reading-modes-c01e-claude,1,956,928,0.9707112970711297,llm-reading-modes-c01e-claude,19803.168516
llm-recommendation-impact-2d38-gemini,1,513,513,1.0,llm-recommendation-impact-2d38-gemini,1175.516146
llm-recommender-efficacy-84bb-claude,1,552,514,0.9311594202898551,llm-recommender-efficacy-84bb-claude,3062.402679
llm-similar-sounds-claude,1,348,348,1.0,llm-similar-sounds-claude,4832.736868
llm-sleep-mechanism-18a0-codex,1,443,416,0.9390519187358917,llm-sleep-mechanism-18a0-codex,2825.469047
llm-sleep-mechanism-95e3-gemini,1,192,192,1.0,llm-sleep-mechanism-95e3-gemini,5529.961855
llm-sleep-mechanism-d0a6-claude,1,1169,1098,0.9392643284858854,llm-sleep-mechanism-d0a6-claude,6075.542657
llm-standard-knowledge-9f5d-codex,1,432,413,0.9560185185185185,llm-standard-knowledge-9f5d-codex,2417.879862
llm-standard-knowledge-c8f8-claude,1,952,876,0.9201680672268907,llm-standard-knowledge-c8f8-claude,6251.445825
llm-standard-knowledge-e336-gemini,1,294,294,1.0,llm-standard-knowledge-e336-gemini,1011.511862
llm-text-limitations-33a4-claude,1,538,538,1.0,llm-text-limitations-33a4-claude,3554.927757
llm-text-limitations-claude,1,584,584,1.0,llm-text-limitations-claude,5462.477928
llm-text-limitations-fe0a-codex,1,467,445,0.9528907922912205,llm-text-limitations-fe0a-codex,2076.890105
llm-thankfulness-claude,1,428,428,1.0,llm-thankfulness-claude,2467.646493
llm-tongue-twisters-claude,1,780,780,1.0,llm-tongue-twisters-claude,5241.197238
llm-tool-selection-codex,1,678,678,1.0,llm-tool-selection-codex,
llm-vs-human-loopholes-028c-codex,1,452,409,0.9048672566371682,llm-vs-human-loopholes-028c-codex,3224.635206
llm-vs-human-loopholes-0ca7-gemini,1,179,179,1.0,llm-vs-human-loopholes-0ca7-gemini,1060.883155
llm-vs-human-loopholes-e858-claude,1,666,622,0.933933933933934,llm-vs-human-loopholes-e858-claude,10875.04011
llm-washing-machine-claude,1,893,893,1.0,llm-washing-machine-claude,4433.193966
llm-washing-machine-codex,1,386,357,0.9248704663212435,llm-washing-machine-codex,
llm-washing-machine-gemini,1,637,637,1.0,llm-washing-machine-gemini,
llm-zero-shot-entropy-claude,1,393,393,1.0,llm-zero-shot-entropy-claude,2533.010036
llm_unspeakables_20260713_124114_33f1a14e,1,1396,1315,0.9419770773638968,llm_unspeakables_20260713_124114_33f1a14e,7456.985816
llms-expose-science-claude,1,0,0,,llms-expose-science-claude,
llms-expose-science-codex,1,438,435,0.9931506849315068,llms-expose-science-codex,
llms-expose-science-gemini,1,270,270,1.0,llms-expose-science-gemini,
llms-keep-secrets-claude,1,0,0,,llms-keep-secrets-claude,
llms-keep-secrets-codex,1,300,298,0.9933333333333333,llms-keep-secrets-codex,
llms-know-answer-73ae-claude,1,1492,1378,0.9235924932975871,llms-know-answer-73ae-claude,7557.935961
llms-know-answer-eef8-codex,1,604,570,0.9437086092715232,llms-know-answer-eef8-codex,2726.890024
llms-recommendation-ef-d7dc-codex,1,370,345,0.9324324324324325,llms-recommendation-ef-d7dc-codex,2490.592842
llms_don_t_do_much_tom_in_writ_20260714_234243_6b6ff0f4,1,761,702,0.9224704336399474,llms_don_t_do_much_tom_in_writ_20260714_234243_6b6ff0f4,3268.374968
logit-lens-implicit-9a0d-claude,1,1117,1032,0.9239033124440466,logit-lens-implicit-9a0d-claude,4188.328964
