repo_name,provider,stage_name,stage_started_at,stage_completed_at,stage_duration_sec,duration_source,success,return_code,has_error
architectural_diversity_in_mul_20260306_214906_8d1e21a6,codex,experiment_runner,2026-03-06T22:05:32.909720,2026-03-06T22:52:31.220129,2818.310409,timestamps,True,,False
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,codex,resource_finder,2026-03-06T22:25:50.909085,2026-03-06T22:45:46.773077,1195.863992,timestamps,True,,False
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,codex,experiment_runner,2026-03-06T22:45:46.778573,2026-03-06T23:03:58.650666,1091.872093,timestamps,True,,False
debate-proof-strategies-1084-claude,codex,resource_finder,2026-03-07T08:25:39.002783,2026-03-07T08:36:48.638190,669.635407,timestamps,True,,False
debate-proof-strategies-1084-claude,codex,experiment_runner,2026-03-07T08:36:48.638762,2026-03-07T08:51:09.549141,860.910379,timestamps,True,,False
emergent_robustness_to_adversa_20260307_082630_b330f08b,codex,resource_finder,2026-03-07T08:26:39.958346,2026-03-07T08:43:27.653184,1007.694838,timestamps,True,,False
emergent_robustness_to_adversa_20260307_082630_b330f08b,codex,experiment_runner,2026-03-07T08:43:27.663551,2026-03-07T08:59:45.250588,977.587037,timestamps,False,,False
mechanistic_interpretability_f_20260307_144014_42ccbc9d,unknown,resource_finder,2026-03-07T14:40:16.386772,2026-03-07T15:00:55.978475,1239.591703,timestamps,True,,False
mechanistic_interpretability_f_20260307_144014_42ccbc9d,unknown,experiment_runner,2026-03-07T15:00:55.985057,2026-03-07T15:27:58.266737,1622.28168,timestamps,False,,False
rainbow-conn-random-1698,codex,resource_finder,2026-03-08T02:41:16.589738,2026-03-08T02:55:13.585965,836.996227,timestamps,True,,False
rainbow-conn-random-1698,codex,experiment_runner,2026-03-08T02:55:13.587544,2026-03-08T03:17:43.771304,1350.18376,timestamps,True,,False
rainbow-conn-random-f967,codex,resource_finder,2026-03-08T04:08:52.515156,2026-03-08T04:22:14.532130,802.016974,timestamps,False,,False
self-critique-drift-4703-claude,codex,resource_finder,2026-03-08T06:12:14.004747,2026-03-08T07:14:34.345144,3740.340397,timestamps,True,,False
self-critique-drift-4703-claude,codex,experiment_runner,2026-03-08T07:14:34.345900,2026-03-08T07:38:29.382528,1435.036628,timestamps,True,,False
self-critique-drift-e068-gemini,codex,resource_finder,2026-03-08T06:12:22.501706,2026-03-08T06:32:30.661083,1208.159377,timestamps,True,,False
self-critique-drift-e068-gemini,codex,experiment_runner,2026-03-08T06:32:30.661432,2026-03-08T07:14:01.980524,2491.319092,timestamps,True,,False
attention-in-ai-d12f-claude,codex,resource_finder,2026-03-08T08:51:39.864621,2026-03-08T09:08:28.676106,1008.811485,timestamps,True,,False
attention-in-ai-d12f-claude,codex,experiment_runner,2026-03-08T09:08:28.676696,2026-03-08T09:22:46.537197,857.860501,timestamps,True,,False
attention-for-ai-bc53-codex,codex,resource_finder,2026-03-08T08:52:12.786349,2026-03-08T09:11:11.835348,1139.048999,timestamps,True,,False
attention-for-ai-bc53-codex,codex,experiment_runner,2026-03-08T09:11:11.835748,2026-03-08T09:19:30.966343,499.130595,timestamps,True,,False
attention-for-ai-f38a-gemini,codex,resource_finder,2026-03-08T21:26:13.020588,2026-03-08T21:35:54.872256,581.851668,timestamps,True,,False
attention-for-ai-f38a-gemini,codex,experiment_runner,2026-03-08T21:35:54.872708,2026-03-08T21:42:56.243475,421.370767,timestamps,True,,False
french-model-count-debc-claude,codex,resource_finder,2026-03-08T21:27:24.047353,2026-03-08T21:43:02.866589,938.819236,timestamps,True,,False
french-model-count-debc-claude,codex,experiment_runner,2026-03-08T21:43:02.866913,2026-03-08T22:03:05.902747,1203.035834,timestamps,True,,False
french-model-counting-9f9d-codex,codex,resource_finder,2026-03-08T21:27:36.149068,2026-03-08T21:34:58.817188,442.66812,timestamps,True,,False
french-model-counting-9f9d-codex,codex,experiment_runner,2026-03-08T21:34:58.817714,2026-03-08T22:08:09.915446,1991.097732,timestamps,True,,False
model-count-french-94dd-gemini,codex,resource_finder,2026-03-09T00:21:53.496377,2026-03-09T00:35:36.679315,823.182938,timestamps,True,,False
model-count-french-94dd-gemini,codex,experiment_runner,2026-03-09T00:35:36.679615,2026-03-09T01:00:04.407365,1467.72775,timestamps,True,,False
llm-proof-verification-4ab2-claude,codex,resource_finder,2026-03-09T04:29:54.423888,2026-03-09T04:54:35.501403,1481.077515,timestamps,True,,False
llm-proof-verification-4ab2-claude,codex,experiment_runner,2026-03-09T04:54:35.501731,2026-03-09T05:04:31.046130,595.544399,timestamps,True,,False
temporal-credit-assign-42dd-claude,codex,resource_finder,2026-03-09T05:12:39.899505,2026-03-09T05:32:45.562872,1205.663367,timestamps,True,,False
temporal-credit-assign-42dd-claude,codex,experiment_runner,2026-03-09T05:32:45.563832,2026-03-09T07:42:30.298469,7784.734637,timestamps,True,,False
self-critique-drift-687e-codex,codex,resource_finder,2026-03-09T18:39:56.581203,2026-03-09T18:49:49.620166,593.038963,timestamps,True,,False
self-critique-drift-687e-codex,codex,experiment_runner,2026-03-09T18:49:49.620479,2026-03-09T19:33:30.604951,2620.984472,timestamps,True,,False
cognitive-semi-groups-b2bf-claude,codex,resource_finder,2026-03-09T22:21:48.179512,2026-03-09T22:38:41.071361,1012.891849,timestamps,True,,False
cognitive-semi-groups-b2bf-claude,codex,experiment_runner,2026-03-09T22:38:41.071945,2026-03-09T22:49:05.858183,624.786238,timestamps,True,,False
prompt-failure-prediction-0191-claude,codex,resource_finder,2026-03-09T22:58:09.725714,2026-03-09T23:21:28.759649,1399.033935,timestamps,True,,False
prompt-failure-prediction-0191-claude,codex,experiment_runner,2026-03-09T23:21:28.760008,2026-03-09T23:38:12.429082,1003.669074,timestamps,True,,False
convergence-coherence-4256-claude,codex,resource_finder,2026-03-10T05:14:00.607995,2026-03-10T05:38:47.686448,1487.078453,timestamps,True,,False
convergence-coherence-4256-claude,codex,experiment_runner,2026-03-10T05:38:47.686974,2026-03-10T05:48:53.181244,605.49427,timestamps,True,,False
adv-meta-llm-interpret-2f36-claude,codex,resource_finder,2026-03-10T07:50:08.417605,2026-03-10T08:25:09.386326,2100.968721,timestamps,True,,False
adv-meta-llm-interpret-2f36-claude,codex,experiment_runner,2026-03-10T08:25:09.386615,2026-03-10T09:53:12.182024,5282.795409,timestamps,True,,False
error-propagation-proof-4a91-claude,codex,resource_finder,2026-03-10T22:58:57.976952,2026-03-10T23:36:07.406939,2229.429987,timestamps,True,,False
error-propagation-proof-4a91-claude,codex,experiment_runner,2026-03-10T23:36:07.407324,2026-03-10T23:56:26.326265,1218.918941,timestamps,True,,False
multi-agent-cot-conv-11e2-claude,codex,resource_finder,2026-03-11T00:04:18.811627,2026-03-11T00:26:30.970385,1332.158758,timestamps,True,,False
multi-agent-cot-conv-11e2-claude,codex,experiment_runner,2026-03-11T00:26:30.970704,2026-03-11T02:09:25.865492,6174.894788,timestamps,True,,False
geom-loss-landscapes-cdfb-claude,codex,resource_finder,2026-03-11T05:56:17.199566,2026-03-11T06:17:56.872492,1299.672926,timestamps,True,,False
geom-loss-landscapes-cdfb-claude,codex,experiment_runner,2026-03-11T06:17:56.873067,2026-03-11T07:25:42.642104,4065.769037,timestamps,True,,False
emergent-alignment-llm-b11c-claude,codex,resource_finder,2026-03-11T10:00:39.163580,2026-03-11T10:22:28.607794,1309.444214,timestamps,True,,False
emergent-alignment-llm-b11c-claude,codex,experiment_runner,2026-03-11T10:22:28.608227,2026-03-11T10:54:50.805509,1942.197282,timestamps,True,,False
phase-transitions-6299-claude,codex,resource_finder,2026-03-12T02:56:34.052383,2026-03-12T03:07:17.604340,643.551957,timestamps,True,,False
phase-transitions-6299-claude,codex,experiment_runner,2026-03-12T03:07:17.604849,2026-03-12T03:49:14.384968,2516.780119,timestamps,True,,False
lying-style-nlp-0448-claude,codex,resource_finder,2026-03-15T20:46:40.430907,2026-03-15T21:15:41.972983,1741.542076,timestamps,True,,False
lying-style-nlp-0448-claude,codex,experiment_runner,2026-03-15T21:15:41.973283,2026-03-15T21:23:58.685474,496.712191,timestamps,True,,False
lying-style-nlp-9950-gemini,codex,resource_finder,2026-03-15T20:46:47.493879,2026-03-15T20:58:04.498796,677.004917,timestamps,True,,False
lying-style-nlp-9950-gemini,codex,experiment_runner,2026-03-15T20:58:04.499347,2026-03-15T21:15:44.408853,1059.909506,timestamps,True,,False
lying-style-nlp-92c9-codex,codex,resource_finder,2026-03-15T22:20:02.067927,2026-03-15T22:28:14.049822,491.981895,timestamps,True,,False
lying-style-nlp-92c9-codex,codex,experiment_runner,2026-03-15T22:28:14.050350,2026-03-15T22:45:35.327741,1041.277391,timestamps,True,,False
live-salmon-ai-test-19cc-claude,codex,resource_finder,2026-03-15T22:22:32.279573,2026-03-15T22:43:23.705587,1251.426014,timestamps,True,,False
live-salmon-ai-test-19cc-claude,codex,experiment_runner,2026-03-15T22:43:23.706212,2026-03-15T23:04:06.753574,1243.047362,timestamps,True,,False
live-salmon-ai-test-7d56-codex,codex,resource_finder,2026-03-15T22:56:39.954291,2026-03-15T23:15:18.356108,1118.401817,timestamps,True,,False
live-salmon-ai-test-7d56-codex,codex,experiment_runner,2026-03-15T23:15:18.356444,2026-03-15T23:52:52.085925,2253.729481,timestamps,True,,False
live-salmon-ai-test-4361-gemini,codex,resource_finder,2026-03-16T00:26:45.371722,2026-03-16T00:50:59.524001,1454.152279,timestamps,True,,False
live-salmon-ai-test-4361-gemini,codex,experiment_runner,2026-03-16T00:50:59.524583,2026-03-16T00:54:56.204208,236.679625,timestamps,True,,False
incontext-if-then-2dae-claude,codex,resource_finder,2026-03-16T02:03:56.621326,2026-03-16T02:45:12.036894,2475.415568,timestamps,True,,False
incontext-if-then-2dae-claude,codex,experiment_runner,2026-03-16T02:45:12.037359,2026-03-16T03:15:06.553223,1794.515864,timestamps,True,,False
incontext-if-then-31c6-codex,codex,resource_finder,2026-03-16T02:03:59.219588,2026-03-16T02:22:55.006638,1135.78705,timestamps,True,,False
incontext-if-then-31c6-codex,codex,experiment_runner,2026-03-16T02:22:55.007018,2026-03-16T02:43:03.786690,1208.779672,timestamps,True,,False
inctx-if-then-capacity-6ce0-gemini,codex,resource_finder,2026-03-16T05:23:37.936443,2026-03-16T05:32:52.194076,554.257633,timestamps,True,,False
inctx-if-then-capacity-6ce0-gemini,codex,experiment_runner,2026-03-16T05:32:52.194387,2026-03-16T05:57:42.105190,1489.910803,timestamps,True,,False
chat-convergence-claude,codex,resource_finder,2026-03-20T02:03:31.683640,2026-03-20T02:25:31.820438,1320.136798,timestamps,True,,False
chat-convergence-claude,codex,experiment_runner,2026-03-20T02:25:31.820964,2026-03-20T04:41:40.813360,8168.992396,timestamps,True,,False
transformer-int-intervals-claude,codex,resource_finder,2026-03-20T02:03:35.048246,2026-03-20T02:39:47.282854,2172.234608,timestamps,True,,False
transformer-int-intervals-claude,codex,experiment_runner,2026-03-20T02:39:47.283109,2026-03-20T03:19:57.428230,2410.145121,timestamps,True,,False
specialized-copying-claude,codex,resource_finder,2026-03-20T14:52:21.155689,2026-03-20T15:16:07.117067,1425.961378,timestamps,True,,False
specialized-copying-claude,codex,experiment_runner,2026-03-20T15:16:07.117552,2026-03-20T15:36:41.142219,1234.024667,timestamps,True,,False
counter-example-machine-claude,codex,resource_finder,2026-03-20T14:52:22.959959,2026-03-20T15:09:01.976901,999.016942,timestamps,True,,False
counter-example-machine-claude,codex,experiment_runner,2026-03-20T15:09:01.977192,2026-03-20T15:53:30.151843,2668.174651,timestamps,True,,False
partial-isomorphisms-claude,codex,resource_finder,2026-03-20T15:58:12.672837,2026-03-20T16:50:17.207958,3124.535121,timestamps,True,,False
partial-isomorphisms-claude,codex,experiment_runner,2026-03-20T16:50:17.208279,2026-03-20T17:14:01.910809,1424.70253,timestamps,True,,False
llm-zero-shot-entropy-claude,codex,resource_finder,2026-03-20T17:17:08.926277,2026-03-20T17:38:26.862974,1277.936697,timestamps,True,,False
llm-zero-shot-entropy-claude,codex,experiment_runner,2026-03-20T17:38:26.863505,2026-03-20T17:59:21.934040,1255.070535,timestamps,True,,False
finetune-saturation-claude,codex,resource_finder,2026-03-20T17:19:58.362867,2026-03-20T17:57:22.257625,2243.894758,timestamps,True,,False
finetune-saturation-claude,codex,experiment_runner,2026-03-20T17:57:22.257959,2026-03-20T19:34:13.372102,5811.114143,timestamps,True,,False
where-is-rhyming-claude,codex,resource_finder,2026-03-20T18:05:22.880161,2026-03-20T18:27:16.291882,1313.411721,timestamps,True,,False
where-is-rhyming-claude,codex,experiment_runner,2026-03-20T18:27:16.292204,2026-03-20T19:00:46.263421,2009.971217,timestamps,True,,False
many-shot-residual-geom-claude,codex,resource_finder,2026-03-20T19:11:43.254891,2026-03-20T19:33:31.934187,1308.679296,timestamps,True,,False
many-shot-residual-geom-claude,codex,experiment_runner,2026-03-20T19:33:31.934529,2026-03-20T20:02:26.058104,1734.123575,timestamps,True,,False
granular-deletes-nlp-claude,codex,resource_finder,2026-03-20T19:38:58.316093,2026-03-20T19:54:19.205132,920.889039,timestamps,True,,False
granular-deletes-nlp-claude,codex,experiment_runner,2026-03-20T19:54:19.205448,2026-03-20T20:08:40.332321,861.126873,timestamps,True,,False
llm-bullying-analysis-claude,codex,resource_finder,2026-03-20T20:07:47.396861,2026-03-20T20:28:57.079417,1269.682556,timestamps,True,,False
llm-bullying-analysis-claude,codex,experiment_runner,2026-03-20T20:28:57.079757,2026-03-20T21:23:49.024231,3291.944474,timestamps,True,,False
lying-style-nlp-claude,codex,resource_finder,2026-03-20T20:15:51.160023,2026-03-20T20:34:34.013175,1122.853152,timestamps,True,,False
lying-style-nlp-claude,codex,experiment_runner,2026-03-20T20:34:34.013477,2026-03-20T21:12:03.119386,2249.105909,timestamps,True,,False
person-space-mapping-claude,codex,resource_finder,2026-03-20T21:19:21.794491,2026-03-20T21:57:23.942871,2282.14838,timestamps,True,,False
person-space-mapping-claude,codex,experiment_runner,2026-03-20T21:57:23.943312,2026-03-20T23:27:39.214872,5415.27156,timestamps,True,,False
proficiency-features-claude,codex,resource_finder,2026-03-20T21:30:16.940212,2026-03-20T21:59:57.771429,1780.831217,timestamps,True,,False
proficiency-features-claude,codex,experiment_runner,2026-03-20T21:59:57.771788,2026-03-20T23:54:21.476580,6863.704792,timestamps,True,,False
nat-induction-heads-claude,codex,resource_finder,2026-03-20T23:32:16.115079,2026-03-21T00:00:30.326356,1694.211277,timestamps,True,,False
nat-induction-heads-claude,codex,experiment_runner,2026-03-21T00:00:30.326696,2026-03-21T00:20:46.803148,1216.476452,timestamps,True,,False
predict-slop-ai-claude,codex,resource_finder,2026-03-21T00:01:46.992904,2026-03-21T00:32:11.839913,1824.847009,timestamps,True,,False
predict-slop-ai-claude,codex,experiment_runner,2026-03-21T00:32:11.840393,2026-03-21T00:52:14.835257,1202.994864,timestamps,True,,False
cross-comp-reps-claude,codex,resource_finder,2026-03-21T00:26:17.090655,2026-03-21T00:43:37.552844,1040.462189,timestamps,True,,False
cross-comp-reps-claude,codex,experiment_runner,2026-03-21T00:43:37.553217,2026-03-21T01:09:48.064211,1570.510994,timestamps,True,,False
scaling-laws-finetune-claude,codex,resource_finder,2026-03-21T00:58:41.134323,2026-03-21T01:16:23.868853,1062.73453,timestamps,True,,False
scaling-laws-finetune-claude,codex,experiment_runner,2026-03-21T01:16:23.869173,2026-03-21T03:56:18.645531,9594.776358,timestamps,True,,False
test-llm-impersonators-claude,codex,resource_finder,2026-03-21T01:15:51.197994,2026-03-21T01:44:08.587017,1697.389023,timestamps,True,,False
test-llm-impersonators-claude,codex,experiment_runner,2026-03-21T01:44:08.587301,2026-03-21T02:04:07.375541,1198.78824,timestamps,True,,False
ai-undetectability-lb-claude,codex,resource_finder,2026-03-21T02:09:39.622495,2026-03-21T03:07:37.856595,3478.2341,timestamps,True,,False
ai-undetectability-lb-claude,codex,experiment_runner,2026-03-21T03:07:37.856861,2026-03-21T03:37:01.288355,1763.431494,timestamps,True,,False
mistake-vs-persona-claude,codex,resource_finder,2026-03-21T03:45:58.250844,2026-03-21T04:09:19.049674,1400.79883,timestamps,True,,False
mistake-vs-persona-claude,codex,experiment_runner,2026-03-21T04:09:19.049993,2026-03-21T04:35:17.893624,1558.843631,timestamps,True,,False
llm-keeping-secrets-claude,codex,resource_finder,2026-03-21T04:02:36.930681,2026-03-21T04:32:05.373750,1768.443069,timestamps,True,,False
llm-keeping-secrets-claude,codex,experiment_runner,2026-03-21T04:32:05.374229,2026-03-21T04:52:08.399447,1203.025218,timestamps,True,,False
higher-level-implicit-claude,codex,resource_finder,2026-03-21T04:40:58.373759,2026-03-21T04:59:16.673388,1098.299629,timestamps,True,,False
higher-level-implicit-claude,codex,experiment_runner,2026-03-21T04:59:16.673874,2026-03-21T05:27:37.487313,1700.813439,timestamps,True,,False
less-ai-sounding-claude,codex,resource_finder,2026-03-21T05:33:02.871935,2026-03-21T06:28:58.193273,3355.321338,timestamps,True,,False
less-ai-sounding-claude,codex,experiment_runner,2026-03-21T06:28:58.193591,2026-03-21T06:56:56.301714,1678.108123,timestamps,True,,False
evolving-forecasters-claude,codex,resource_finder,2026-03-21T06:17:26.074123,2026-03-21T06:48:47.475401,1881.401278,timestamps,True,,False
evolving-forecasters-claude,codex,experiment_runner,2026-03-21T06:48:47.475684,2026-03-21T07:23:40.430443,2092.954759,timestamps,True,,False
abstraction-vs-grounding-claude,codex,resource_finder,2026-03-21T07:12:32.058181,2026-03-21T07:40:53.027094,1700.968913,timestamps,True,,False
abstraction-vs-grounding-claude,codex,experiment_runner,2026-03-21T07:40:53.027587,2026-03-21T09:08:42.009094,5268.981507,timestamps,True,,False
logit-lens-limits-claude,codex,resource_finder,2026-03-21T09:13:20.395964,2026-03-21T09:29:37.394076,976.998112,timestamps,True,,False
logit-lens-limits-claude,codex,experiment_runner,2026-03-21T09:29:37.394416,2026-03-21T10:02:30.794711,1973.400295,timestamps,True,,False
careful-llm-words-claude,codex,resource_finder,2026-03-23T15:14:05.590773,2026-03-23T15:34:45.260888,1239.670115,timestamps,True,,False
careful-llm-words-claude,codex,experiment_runner,2026-03-23T15:34:45.261371,2026-03-23T16:42:39.091925,4073.830554,timestamps,True,,False
alignment-watermark-claude,codex,resource_finder,2026-03-21T10:08:29.246506,2026-03-21T10:45:16.997648,2207.751142,timestamps,True,,False
alignment-watermark-claude,codex,experiment_runner,2026-03-21T10:45:16.997902,2026-03-21T11:18:47.332410,2010.334508,timestamps,True,,False
llm-one-pass-ordering-claude,codex,resource_finder,2026-03-22T03:59:20.664295,2026-03-22T04:24:59.089263,1538.424968,timestamps,True,,False
llm-one-pass-ordering-claude,codex,experiment_runner,2026-03-22T04:24:59.089632,2026-03-22T04:32:41.593947,462.504315,timestamps,True,,False
invertible-lm-output-claude,codex,resource_finder,2026-03-22T04:37:12.413227,2026-03-22T05:07:55.149829,1842.736602,timestamps,True,,False
invertible-lm-output-claude,codex,experiment_runner,2026-03-22T05:07:55.150176,2026-03-22T05:23:49.912250,954.762074,timestamps,True,,False
nonlinear-diction-nlp-claude,codex,resource_finder,2026-03-22T05:30:11.022760,2026-03-22T06:01:53.772025,1902.749265,timestamps,True,,False
nonlinear-diction-nlp-claude,codex,experiment_runner,2026-03-22T06:01:53.772448,2026-03-22T06:58:57.826580,3424.054132,timestamps,True,,False
sounds-like-ai-claude,codex,resource_finder,2026-03-22T05:31:15.154386,2026-03-22T05:47:47.130214,991.975828,timestamps,True,,False
sounds-like-ai-claude,codex,experiment_runner,2026-03-22T05:47:47.130558,2026-03-22T06:33:45.240914,2758.110356,timestamps,True,,False
llm-pain-analysis-eb23-claude,codex,resource_finder,2026-03-22T06:24:58.710172,2026-03-22T06:55:05.276497,1806.566325,timestamps,True,,False
llm-pain-analysis-eb23-claude,codex,experiment_runner,2026-03-22T06:55:05.277051,2026-03-22T07:43:25.774325,2900.497274,timestamps,True,,False
llm-pain-analysis-694e-codex,codex,resource_finder,2026-03-22T06:25:16.193159,2026-03-22T06:37:50.545637,754.352478,timestamps,True,,False
llm-pain-analysis-694e-codex,codex,experiment_runner,2026-03-22T06:37:50.545938,2026-03-22T06:54:58.981652,1028.435714,timestamps,True,,False
llm-pain-analysis-89e0-gemini,codex,resource_finder,2026-03-22T06:25:19.440003,2026-03-22T06:41:13.425819,953.985816,timestamps,True,,False
llm-pain-analysis-89e0-gemini,codex,experiment_runner,2026-03-22T06:41:13.426128,2026-03-22T08:03:34.482497,4941.056369,timestamps,True,,False
factorio-social-ai-claude,codex,resource_finder,2026-03-22T06:39:31.479026,2026-03-22T07:05:27.317008,1555.837982,timestamps,True,,False
factorio-social-ai-claude,codex,experiment_runner,2026-03-22T07:05:27.317441,2026-03-22T07:31:37.832153,1570.514712,timestamps,True,,False
hidden-state-storage-claude,codex,resource_finder,2026-03-22T07:05:29.930534,2026-03-22T07:24:26.171816,1136.241282,timestamps,True,,False
hidden-state-storage-claude,codex,experiment_runner,2026-03-22T07:24:26.172180,2026-03-22T10:00:30.150736,9363.978556,timestamps,True,,False
llm-priming-sidechan-claude,codex,resource_finder,2026-03-22T07:37:45.724286,2026-03-22T08:10:48.003744,1982.279458,timestamps,True,,False
llm-priming-sidechan-claude,codex,experiment_runner,2026-03-22T08:10:48.004045,2026-03-22T08:35:06.690424,1458.686379,timestamps,True,,False
multi-turn-regress-claude,codex,resource_finder,2026-03-22T08:41:17.789914,2026-03-22T09:13:39.404572,1941.614658,timestamps,True,,False
multi-turn-regress-claude,codex,experiment_runner,2026-03-22T09:13:39.404908,2026-03-22T09:47:20.474388,2021.06948,timestamps,True,,False
news-future-ai-claude,codex,resource_finder,2026-03-22T09:55:33.612194,2026-03-22T10:08:58.588281,804.976087,timestamps,True,,False
news-future-ai-claude,codex,experiment_runner,2026-03-22T10:08:58.588584,2026-03-22T10:27:56.511034,1137.92245,timestamps,True,,False
finetuning-proof-datasets-claude,codex,resource_finder,2026-03-22T10:06:36.871656,2026-03-22T10:31:40.117052,1503.245396,timestamps,True,,False
finetuning-proof-datasets-claude,codex,experiment_runner,2026-03-22T10:31:40.117308,2026-03-22T12:29:16.157062,7056.039754,timestamps,True,,False
false-memories-llm-claude,codex,resource_finder,2026-03-22T10:34:08.436691,2026-03-22T10:50:01.696439,953.259748,timestamps,True,,False
false-memories-llm-claude,codex,experiment_runner,2026-03-22T10:50:01.696864,2026-03-22T11:04:16.295470,854.598606,timestamps,True,,False
covariance-belief-space-claude,codex,resource_finder,2026-03-22T11:09:11.904600,2026-03-22T11:23:01.309528,829.404928,timestamps,True,,False
covariance-belief-space-claude,codex,experiment_runner,2026-03-22T11:23:01.309775,2026-03-22T11:36:02.265818,780.956043,timestamps,True,,False
info-in-out-genai-claude,codex,resource_finder,2026-03-22T11:42:08.591275,2026-03-22T12:02:42.580238,1233.988963,timestamps,True,,False
info-in-out-genai-claude,codex,experiment_runner,2026-03-22T12:02:42.580731,2026-03-22T12:17:09.335303,866.754572,timestamps,True,,False
steering-expanded-mlp-claude,codex,resource_finder,2026-03-22T12:24:30.367659,2026-03-22T12:45:29.456316,1259.088657,timestamps,True,,False
steering-expanded-mlp-claude,codex,experiment_runner,2026-03-22T12:45:29.456689,2026-03-22T13:00:40.424360,910.967671,timestamps,True,,False
residual-stream-biject-claude,codex,resource_finder,2026-03-22T12:35:11.231492,2026-03-22T13:03:13.841673,1682.610181,timestamps,True,,False
residual-stream-biject-claude,codex,experiment_runner,2026-03-22T13:03:13.842006,2026-03-22T13:41:39.681126,2305.83912,timestamps,True,,False
all-words-phrases-nlp-claude,codex,resource_finder,2026-03-22T13:08:02.240593,2026-03-22T13:26:40.734793,1118.4942,timestamps,True,,False
all-words-phrases-nlp-claude,codex,experiment_runner,2026-03-22T13:26:40.735334,2026-03-22T13:48:04.974883,1284.239549,timestamps,True,,False
phrase-arithmetic-nlp-claude,codex,resource_finder,2026-03-22T13:47:53.385695,2026-03-22T14:28:14.583529,2421.197834,timestamps,True,,False
phrase-arithmetic-nlp-claude,codex,experiment_runner,2026-03-22T14:28:14.583883,2026-03-22T14:45:55.788523,1061.20464,timestamps,True,,False
quantify-llm-factors-claude,codex,resource_finder,2026-03-22T14:37:43.467222,2026-03-22T15:19:40.544630,2517.077408,timestamps,True,,False
quantify-llm-factors-claude,codex,experiment_runner,2026-03-22T15:19:40.544937,2026-03-22T15:36:58.766859,1038.221922,timestamps,True,,False
coordination-ai-game-claude,codex,resource_finder,2026-03-22T14:53:11.834665,2026-03-22T15:30:25.448351,2233.613686,timestamps,True,,False
coordination-ai-game-claude,codex,experiment_runner,2026-03-22T15:30:25.448624,2026-03-22T18:03:41.773608,9196.324984,timestamps,True,,False
