name	full_name	ssh_url	clone_url	html_url	created_at	updated_at	pushed_at	default_branch	size
ai-methods-durability-gemini	Hypogenic-AI/ai-methods-durability-gemini	git@github.com:Hypogenic-AI/ai-methods-durability-gemini.git	https://github.com/Hypogenic-AI/ai-methods-durability-gemini.git	https://github.com/Hypogenic-AI/ai-methods-durability-gemini	2025-12-22T06:26:00Z	2025-12-23T10:42:07Z	2025-12-23T10:42:02Z	main	8333
ai-methods-durability-codex	Hypogenic-AI/ai-methods-durability-codex	git@github.com:Hypogenic-AI/ai-methods-durability-codex.git	https://github.com/Hypogenic-AI/ai-methods-durability-codex.git	https://github.com/Hypogenic-AI/ai-methods-durability-codex	2025-12-22T06:47:08Z	2025-12-22T07:38:17Z	2025-12-22T07:38:12Z	main	25455
ai-methods-durability-claude	Hypogenic-AI/ai-methods-durability-claude	git@github.com:Hypogenic-AI/ai-methods-durability-claude.git	https://github.com/Hypogenic-AI/ai-methods-durability-claude.git	https://github.com/Hypogenic-AI/ai-methods-durability-claude	2025-12-22T18:35:56Z	2025-12-22T18:36:01Z	2025-12-22T18:36:00Z	main	3
model-character-limit-gemini	Hypogenic-AI/model-character-limit-gemini	git@github.com:Hypogenic-AI/model-character-limit-gemini.git	https://github.com/Hypogenic-AI/model-character-limit-gemini.git	https://github.com/Hypogenic-AI/model-character-limit-gemini	2025-12-29T00:36:34Z	2025-12-29T04:47:55Z	2025-12-29T04:47:52Z	main	8039
model-character-limit-codex	Hypogenic-AI/model-character-limit-codex	git@github.com:Hypogenic-AI/model-character-limit-codex.git	https://github.com/Hypogenic-AI/model-character-limit-codex.git	https://github.com/Hypogenic-AI/model-character-limit-codex	2025-12-29T00:36:44Z	2025-12-29T01:01:14Z	2025-12-29T01:01:09Z	main	20613
model-character-limit-claude	Hypogenic-AI/model-character-limit-claude	git@github.com:Hypogenic-AI/model-character-limit-claude.git	https://github.com/Hypogenic-AI/model-character-limit-claude.git	https://github.com/Hypogenic-AI/model-character-limit-claude	2025-12-29T00:36:50Z	2026-03-23T00:14:12Z	2026-03-23T00:14:07Z	main	110722
constrain-llm-behavior-codex	Hypogenic-AI/constrain-llm-behavior-codex	git@github.com:Hypogenic-AI/constrain-llm-behavior-codex.git	https://github.com/Hypogenic-AI/constrain-llm-behavior-codex.git	https://github.com/Hypogenic-AI/constrain-llm-behavior-codex	2025-12-29T01:10:30Z	2025-12-29T01:38:42Z	2025-12-29T01:38:38Z	main	6161
llm-behavior-constraints-claude	Hypogenic-AI/llm-behavior-constraints-claude	git@github.com:Hypogenic-AI/llm-behavior-constraints-claude.git	https://github.com/Hypogenic-AI/llm-behavior-constraints-claude.git	https://github.com/Hypogenic-AI/llm-behavior-constraints-claude	2025-12-29T05:35:14Z	2025-12-29T08:41:03Z	2025-12-29T08:40:58Z	main	23542
constrain-llm-behavior-gemini	Hypogenic-AI/constrain-llm-behavior-gemini	git@github.com:Hypogenic-AI/constrain-llm-behavior-gemini.git	https://github.com/Hypogenic-AI/constrain-llm-behavior-gemini.git	https://github.com/Hypogenic-AI/constrain-llm-behavior-gemini	2025-12-29T05:35:22Z	2025-12-30T17:27:28Z	2025-12-30T17:27:25Z	main	260
ai-review-equilibrium-codex	Hypogenic-AI/ai-review-equilibrium-codex	git@github.com:Hypogenic-AI/ai-review-equilibrium-codex.git	https://github.com/Hypogenic-AI/ai-review-equilibrium-codex.git	https://github.com/Hypogenic-AI/ai-review-equilibrium-codex	2025-12-29T05:35:38Z	2025-12-29T07:13:18Z	2025-12-29T07:13:14Z	main	22838
ai-review-equilibrium-claude	Hypogenic-AI/ai-review-equilibrium-claude	git@github.com:Hypogenic-AI/ai-review-equilibrium-claude.git	https://github.com/Hypogenic-AI/ai-review-equilibrium-claude.git	https://github.com/Hypogenic-AI/ai-review-equilibrium-claude	2025-12-29T18:27:46Z	2025-12-29T19:47:55Z	2025-12-29T19:47:51Z	main	43151
ai-review-equilibrium-gemini	Hypogenic-AI/ai-review-equilibrium-gemini	git@github.com:Hypogenic-AI/ai-review-equilibrium-gemini.git	https://github.com/Hypogenic-AI/ai-review-equilibrium-gemini.git	https://github.com/Hypogenic-AI/ai-review-equilibrium-gemini	2025-12-30T17:29:37Z	2025-12-30T19:30:26Z	2025-12-30T19:30:22Z	main	50220
hide-prompts-length-gemini	Hypogenic-AI/hide-prompts-length-gemini	git@github.com:Hypogenic-AI/hide-prompts-length-gemini.git	https://github.com/Hypogenic-AI/hide-prompts-length-gemini.git	https://github.com/Hypogenic-AI/hide-prompts-length-gemini	2026-01-03T20:57:58Z	2026-01-03T23:43:18Z	2026-01-03T23:43:13Z	main	44127
adversarial-prompts-docs-codex	Hypogenic-AI/adversarial-prompts-docs-codex	git@github.com:Hypogenic-AI/adversarial-prompts-docs-codex.git	https://github.com/Hypogenic-AI/adversarial-prompts-docs-codex.git	https://github.com/Hypogenic-AI/adversarial-prompts-docs-codex	2026-01-03T20:58:10Z	2026-01-03T21:26:51Z	2026-01-03T21:26:47Z	main	4065
adversarial-prompts-claude	Hypogenic-AI/adversarial-prompts-claude	git@github.com:Hypogenic-AI/adversarial-prompts-claude.git	https://github.com/Hypogenic-AI/adversarial-prompts-claude.git	https://github.com/Hypogenic-AI/adversarial-prompts-claude	2026-01-03T20:58:20Z	2026-03-22T05:30:30Z	2026-03-22T05:30:25Z	main	49193
latent-visual-reasoning-gemini	Hypogenic-AI/latent-visual-reasoning-gemini	git@github.com:Hypogenic-AI/latent-visual-reasoning-gemini.git	https://github.com/Hypogenic-AI/latent-visual-reasoning-gemini.git	https://github.com/Hypogenic-AI/latent-visual-reasoning-gemini	2026-01-03T23:04:08Z	2026-01-04T22:56:25Z	2026-01-04T22:56:20Z	main	60691
llm-keeping-secrets-gemini	Hypogenic-AI/llm-keeping-secrets-gemini	git@github.com:Hypogenic-AI/llm-keeping-secrets-gemini.git	https://github.com/Hypogenic-AI/llm-keeping-secrets-gemini.git	https://github.com/Hypogenic-AI/llm-keeping-secrets-gemini	2026-01-04T22:56:59Z	2026-01-05T00:19:33Z	2026-01-05T00:19:29Z	main	8692
latent-visual-reasoning-claude	Hypogenic-AI/latent-visual-reasoning-claude	git@github.com:Hypogenic-AI/latent-visual-reasoning-claude.git	https://github.com/Hypogenic-AI/latent-visual-reasoning-claude.git	https://github.com/Hypogenic-AI/latent-visual-reasoning-claude	2026-01-04T23:06:28Z	2026-06-12T05:40:45Z	2026-01-04T23:35:08Z	main	60666
latent-visual-reasoning-codex	Hypogenic-AI/latent-visual-reasoning-codex	git@github.com:Hypogenic-AI/latent-visual-reasoning-codex.git	https://github.com/Hypogenic-AI/latent-visual-reasoning-codex.git	https://github.com/Hypogenic-AI/latent-visual-reasoning-codex	2026-01-04T23:06:34Z	2026-01-04T23:25:58Z	2026-01-04T23:25:53Z	main	58569
llms-keep-secrets-codex	Hypogenic-AI/llms-keep-secrets-codex	git@github.com:Hypogenic-AI/llms-keep-secrets-codex.git	https://github.com/Hypogenic-AI/llms-keep-secrets-codex.git	https://github.com/Hypogenic-AI/llms-keep-secrets-codex	2026-01-04T23:37:28Z	2026-01-05T00:07:17Z	2026-01-05T00:07:13Z	main	14530
llms-keep-secrets-claude	Hypogenic-AI/llms-keep-secrets-claude	git@github.com:Hypogenic-AI/llms-keep-secrets-claude.git	https://github.com/Hypogenic-AI/llms-keep-secrets-claude.git	https://github.com/Hypogenic-AI/llms-keep-secrets-claude	2026-01-04T23:37:38Z	2026-01-05T03:47:45Z	2026-01-05T03:47:42Z	main	18228
auto-opt-pde-solver-claude	Hypogenic-AI/auto-opt-pde-solver-claude	git@github.com:Hypogenic-AI/auto-opt-pde-solver-claude.git	https://github.com/Hypogenic-AI/auto-opt-pde-solver-claude.git	https://github.com/Hypogenic-AI/auto-opt-pde-solver-claude	2026-01-06T16:48:28Z	2026-01-06T17:16:01Z	2026-01-06T17:15:56Z	main	8211
llm-epistemic-belief-claude	Hypogenic-AI/llm-epistemic-belief-claude	git@github.com:Hypogenic-AI/llm-epistemic-belief-claude.git	https://github.com/Hypogenic-AI/llm-epistemic-belief-claude.git	https://github.com/Hypogenic-AI/llm-epistemic-belief-claude	2026-01-09T21:39:52Z	2026-01-09T22:09:06Z	2026-01-09T22:09:02Z	main	18647
humor-recognition-llm-gemini	Hypogenic-AI/humor-recognition-llm-gemini	git@github.com:Hypogenic-AI/humor-recognition-llm-gemini.git	https://github.com/Hypogenic-AI/humor-recognition-llm-gemini.git	https://github.com/Hypogenic-AI/humor-recognition-llm-gemini	2026-01-11T04:28:23Z	2026-01-11T22:13:32Z	2026-01-11T22:13:28Z	main	16697
multi-scale-nested-gemini	Hypogenic-AI/multi-scale-nested-gemini	git@github.com:Hypogenic-AI/multi-scale-nested-gemini.git	https://github.com/Hypogenic-AI/multi-scale-nested-gemini.git	https://github.com/Hypogenic-AI/multi-scale-nested-gemini	2026-01-11T20:41:38Z	2026-01-11T22:47:06Z	2026-01-11T22:47:02Z	main	19186
recursion-visual-text-gemini	Hypogenic-AI/recursion-visual-text-gemini	git@github.com:Hypogenic-AI/recursion-visual-text-gemini.git	https://github.com/Hypogenic-AI/recursion-visual-text-gemini.git	https://github.com/Hypogenic-AI/recursion-visual-text-gemini	2026-01-11T21:51:11Z	2026-01-12T01:02:52Z	2026-01-12T01:02:48Z	main	13560
humor-recognition-llm-claude	Hypogenic-AI/humor-recognition-llm-claude	git@github.com:Hypogenic-AI/humor-recognition-llm-claude.git	https://github.com/Hypogenic-AI/humor-recognition-llm-claude.git	https://github.com/Hypogenic-AI/humor-recognition-llm-claude	2026-01-11T22:40:25Z	2026-03-21T09:12:29Z	2026-03-21T09:12:24Z	main	99232
multi-scale-nested-claude	Hypogenic-AI/multi-scale-nested-claude	git@github.com:Hypogenic-AI/multi-scale-nested-claude.git	https://github.com/Hypogenic-AI/multi-scale-nested-claude.git	https://github.com/Hypogenic-AI/multi-scale-nested-claude	2026-01-11T22:40:40Z	2026-01-12T01:04:33Z	2026-01-12T01:04:29Z	main	16674
recursion-visual-text-claude	Hypogenic-AI/recursion-visual-text-claude	git@github.com:Hypogenic-AI/recursion-visual-text-claude.git	https://github.com/Hypogenic-AI/recursion-visual-text-claude.git	https://github.com/Hypogenic-AI/recursion-visual-text-claude	2026-01-12T04:11:52Z	2026-01-12T05:04:00Z	2026-01-12T05:03:54Z	main	81010
emergent-misalignment-claude	Hypogenic-AI/emergent-misalignment-claude	git@github.com:Hypogenic-AI/emergent-misalignment-claude.git	https://github.com/Hypogenic-AI/emergent-misalignment-claude.git	https://github.com/Hypogenic-AI/emergent-misalignment-claude	2026-01-16T16:04:33Z	2026-01-16T20:49:56Z	2026-01-16T20:49:51Z	main	49158
llm-human-vs-llm-ffea-gemini	Hypogenic-AI/llm-human-vs-llm-ffea-gemini	git@github.com:Hypogenic-AI/llm-human-vs-llm-ffea-gemini.git	https://github.com/Hypogenic-AI/llm-human-vs-llm-ffea-gemini.git	https://github.com/Hypogenic-AI/llm-human-vs-llm-ffea-gemini	2026-01-17T21:34:30Z	2026-01-18T04:33:48Z	2026-01-18T04:33:44Z	main	9070
ai-undetectability-lb-dd40-gemini	Hypogenic-AI/ai-undetectability-lb-dd40-gemini	git@github.com:Hypogenic-AI/ai-undetectability-lb-dd40-gemini.git	https://github.com/Hypogenic-AI/ai-undetectability-lb-dd40-gemini.git	https://github.com/Hypogenic-AI/ai-undetectability-lb-dd40-gemini	2026-01-18T04:04:22Z	2026-01-18T05:57:35Z	2026-01-18T05:57:31Z	main	6920
llm-human-vs-llm-54c9-claude	Hypogenic-AI/llm-human-vs-llm-54c9-claude	git@github.com:Hypogenic-AI/llm-human-vs-llm-54c9-claude.git	https://github.com/Hypogenic-AI/llm-human-vs-llm-54c9-claude.git	https://github.com/Hypogenic-AI/llm-human-vs-llm-54c9-claude	2026-01-18T08:36:37Z	2026-01-18T09:45:13Z	2026-01-18T09:45:09Z	main	8761
llm-linguistic-eval-62f9-gemini	Hypogenic-AI/llm-linguistic-eval-62f9-gemini	git@github.com:Hypogenic-AI/llm-linguistic-eval-62f9-gemini.git	https://github.com/Hypogenic-AI/llm-linguistic-eval-62f9-gemini.git	https://github.com/Hypogenic-AI/llm-linguistic-eval-62f9-gemini	2026-01-19T01:19:37Z	2026-01-19T05:53:02Z	2026-01-19T05:52:58Z	main	13289
ai-undetectability-lb-433c-claude	Hypogenic-AI/ai-undetectability-lb-433c-claude	git@github.com:Hypogenic-AI/ai-undetectability-lb-433c-claude.git	https://github.com/Hypogenic-AI/ai-undetectability-lb-433c-claude.git	https://github.com/Hypogenic-AI/ai-undetectability-lb-433c-claude	2026-01-19T01:37:22Z	2026-01-19T03:36:32Z	2026-01-19T03:36:27Z	main	10670
llm-linguistic-eval-bb29-claude	Hypogenic-AI/llm-linguistic-eval-bb29-claude	git@github.com:Hypogenic-AI/llm-linguistic-eval-bb29-claude.git	https://github.com/Hypogenic-AI/llm-linguistic-eval-bb29-claude.git	https://github.com/Hypogenic-AI/llm-linguistic-eval-bb29-claude	2026-01-19T04:37:49Z	2026-01-19T05:45:16Z	2026-01-19T05:45:12Z	main	21666
auto-opt-pde-solver-65e0	Hypogenic-AI/auto-opt-pde-solver-65e0	git@github.com:Hypogenic-AI/auto-opt-pde-solver-65e0.git	https://github.com/Hypogenic-AI/auto-opt-pde-solver-65e0.git	https://github.com/Hypogenic-AI/auto-opt-pde-solver-65e0	2026-01-21T17:05:57Z	2026-01-21T17:54:40Z	2026-01-21T17:54:13Z	main	29557
natural-hallucinations-1245-gemini	Hypogenic-AI/natural-hallucinations-1245-gemini	git@github.com:Hypogenic-AI/natural-hallucinations-1245-gemini.git	https://github.com/Hypogenic-AI/natural-hallucinations-1245-gemini.git	https://github.com/Hypogenic-AI/natural-hallucinations-1245-gemini	2026-01-24T20:59:15Z	2026-01-26T08:29:40Z	2026-01-26T08:29:37Z	main	10369
natural-hallucinations-claude	Hypogenic-AI/natural-hallucinations-claude	git@github.com:Hypogenic-AI/natural-hallucinations-claude.git	https://github.com/Hypogenic-AI/natural-hallucinations-claude.git	https://github.com/Hypogenic-AI/natural-hallucinations-claude	2026-01-24T23:26:51Z	2026-03-20T17:16:49Z	2026-03-20T17:16:40Z	main	122993
llm-output-length-claude	Hypogenic-AI/llm-output-length-claude	git@github.com:Hypogenic-AI/llm-output-length-claude.git	https://github.com/Hypogenic-AI/llm-output-length-claude.git	https://github.com/Hypogenic-AI/llm-output-length-claude	2026-01-25T01:38:09Z	2026-01-25T03:37:17Z	2026-01-25T03:37:13Z	main	18783
mechanistic-llm-tools-claude	Hypogenic-AI/mechanistic-llm-tools-claude	git@github.com:Hypogenic-AI/mechanistic-llm-tools-claude.git	https://github.com/Hypogenic-AI/mechanistic-llm-tools-claude.git	https://github.com/Hypogenic-AI/mechanistic-llm-tools-claude	2026-01-25T04:13:31Z	2026-01-25T05:06:40Z	2026-01-25T05:06:33Z	main	147081
natural-hallucinations-codex	Hypogenic-AI/natural-hallucinations-codex	git@github.com:Hypogenic-AI/natural-hallucinations-codex.git	https://github.com/Hypogenic-AI/natural-hallucinations-codex.git	https://github.com/Hypogenic-AI/natural-hallucinations-codex	2026-01-26T04:41:33Z	2026-01-26T05:28:20Z	2026-01-26T05:28:15Z	main	5456
llm-output-length-codex	Hypogenic-AI/llm-output-length-codex	git@github.com:Hypogenic-AI/llm-output-length-codex.git	https://github.com/Hypogenic-AI/llm-output-length-codex.git	https://github.com/Hypogenic-AI/llm-output-length-codex	2026-01-26T06:04:59Z	2026-01-26T07:04:30Z	2026-01-26T07:04:25Z	main	5569
llm-tool-selection-codex	Hypogenic-AI/llm-tool-selection-codex	git@github.com:Hypogenic-AI/llm-tool-selection-codex.git	https://github.com/Hypogenic-AI/llm-tool-selection-codex.git	https://github.com/Hypogenic-AI/llm-tool-selection-codex	2026-01-26T07:18:59Z	2026-01-26T08:12:10Z	2026-01-26T08:12:05Z	main	71591
llm-output-length-gemini	Hypogenic-AI/llm-output-length-gemini	git@github.com:Hypogenic-AI/llm-output-length-gemini.git	https://github.com/Hypogenic-AI/llm-output-length-gemini.git	https://github.com/Hypogenic-AI/llm-output-length-gemini	2026-01-26T18:31:35Z	2026-01-26T19:45:52Z	2026-01-26T19:45:48Z	main	67948
mechanistic-llm-tools-gemini	Hypogenic-AI/mechanistic-llm-tools-gemini	git@github.com:Hypogenic-AI/mechanistic-llm-tools-gemini.git	https://github.com/Hypogenic-AI/mechanistic-llm-tools-gemini.git	https://github.com/Hypogenic-AI/mechanistic-llm-tools-gemini	2026-01-26T20:06:05Z	2026-01-26T20:50:15Z	2026-01-26T20:50:09Z	main	10562
fix-lazy-llms-claude	Hypogenic-AI/fix-lazy-llms-claude	git@github.com:Hypogenic-AI/fix-lazy-llms-claude.git	https://github.com/Hypogenic-AI/fix-lazy-llms-claude.git	https://github.com/Hypogenic-AI/fix-lazy-llms-claude	2026-01-31T22:53:01Z	2026-02-01T01:53:38Z	2026-02-01T01:53:34Z	main	41347
fix-lazy-llms-codex	Hypogenic-AI/fix-lazy-llms-codex	git@github.com:Hypogenic-AI/fix-lazy-llms-codex.git	https://github.com/Hypogenic-AI/fix-lazy-llms-codex.git	https://github.com/Hypogenic-AI/fix-lazy-llms-codex	2026-01-31T22:53:07Z	2026-01-31T23:57:55Z	2026-01-31T23:57:50Z	main	21363
fix-lazy-llms-gemini	Hypogenic-AI/fix-lazy-llms-gemini	git@github.com:Hypogenic-AI/fix-lazy-llms-gemini.git	https://github.com/Hypogenic-AI/fix-lazy-llms-gemini.git	https://github.com/Hypogenic-AI/fix-lazy-llms-gemini	2026-01-31T22:53:13Z	2026-01-31T23:56:17Z	2026-01-31T23:56:13Z	main	8031
news-from-future-ai-claude	Hypogenic-AI/news-from-future-ai-claude	git@github.com:Hypogenic-AI/news-from-future-ai-claude.git	https://github.com/Hypogenic-AI/news-from-future-ai-claude.git	https://github.com/Hypogenic-AI/news-from-future-ai-claude	2026-02-01T02:42:37Z	2026-02-01T03:25:21Z	2026-02-01T03:25:16Z	main	84824
news-future-ai-codex	Hypogenic-AI/news-future-ai-codex	git@github.com:Hypogenic-AI/news-future-ai-codex.git	https://github.com/Hypogenic-AI/news-future-ai-codex.git	https://github.com/Hypogenic-AI/news-future-ai-codex	2026-02-01T02:42:44Z	2026-02-01T03:18:14Z	2026-02-01T03:18:09Z	main	39423
news-future-ai-gemini	Hypogenic-AI/news-future-ai-gemini	git@github.com:Hypogenic-AI/news-future-ai-gemini.git	https://github.com/Hypogenic-AI/news-future-ai-gemini.git	https://github.com/Hypogenic-AI/news-future-ai-gemini	2026-02-01T02:42:50Z	2026-02-01T03:11:45Z	2026-02-01T03:11:41Z	main	4240
isolate-knowledge-updates-claude	Hypogenic-AI/isolate-knowledge-updates-claude	git@github.com:Hypogenic-AI/isolate-knowledge-updates-claude.git	https://github.com/Hypogenic-AI/isolate-knowledge-updates-claude.git	https://github.com/Hypogenic-AI/isolate-knowledge-updates-claude	2026-02-01T20:40:22Z	2026-04-05T06:37:18Z	2026-03-22T14:36:15Z	main	153129
isolate-knowledge-updates-codex	Hypogenic-AI/isolate-knowledge-updates-codex	git@github.com:Hypogenic-AI/isolate-knowledge-updates-codex.git	https://github.com/Hypogenic-AI/isolate-knowledge-updates-codex.git	https://github.com/Hypogenic-AI/isolate-knowledge-updates-codex	2026-02-01T20:40:30Z	2026-02-02T22:10:43Z	2026-02-02T22:10:37Z	main	35565
isolate-knowledge-updates-gemini	Hypogenic-AI/isolate-knowledge-updates-gemini	git@github.com:Hypogenic-AI/isolate-knowledge-updates-gemini.git	https://github.com/Hypogenic-AI/isolate-knowledge-updates-gemini.git	https://github.com/Hypogenic-AI/isolate-knowledge-updates-gemini	2026-02-02T00:18:27Z	2026-02-02T00:53:19Z	2026-02-02T00:53:14Z	main	39930
carrot-or-stick-nlp-e135-claude	Hypogenic-AI/carrot-or-stick-nlp-e135-claude	git@github.com:Hypogenic-AI/carrot-or-stick-nlp-e135-claude.git	https://github.com/Hypogenic-AI/carrot-or-stick-nlp-e135-claude.git	https://github.com/Hypogenic-AI/carrot-or-stick-nlp-e135-claude	2026-02-06T08:13:24Z	2026-02-06T09:15:16Z	2026-02-06T09:15:09Z	main	86024
carrot-or-stick-nlp-gemini	Hypogenic-AI/carrot-or-stick-nlp-gemini	git@github.com:Hypogenic-AI/carrot-or-stick-nlp-gemini.git	https://github.com/Hypogenic-AI/carrot-or-stick-nlp-gemini.git	https://github.com/Hypogenic-AI/carrot-or-stick-nlp-gemini	2026-02-07T22:27:13Z	2026-02-07T23:53:06Z	2026-02-07T23:53:01Z	master	10032
carrot-or-stick-nlp-codex	Hypogenic-AI/carrot-or-stick-nlp-codex	git@github.com:Hypogenic-AI/carrot-or-stick-nlp-codex.git	https://github.com/Hypogenic-AI/carrot-or-stick-nlp-codex.git	https://github.com/Hypogenic-AI/carrot-or-stick-nlp-codex	2026-02-07T22:27:32Z	2026-02-07T23:52:21Z	2026-02-07T23:52:16Z	master	10655
llm-washing-machine-gemini	Hypogenic-AI/llm-washing-machine-gemini	git@github.com:Hypogenic-AI/llm-washing-machine-gemini.git	https://github.com/Hypogenic-AI/llm-washing-machine-gemini.git	https://github.com/Hypogenic-AI/llm-washing-machine-gemini	2026-02-08T00:35:54Z	2026-02-08T01:05:19Z	2026-02-08T01:05:15Z	main	25596
llm-washing-machine-codex	Hypogenic-AI/llm-washing-machine-codex	git@github.com:Hypogenic-AI/llm-washing-machine-codex.git	https://github.com/Hypogenic-AI/llm-washing-machine-codex.git	https://github.com/Hypogenic-AI/llm-washing-machine-codex	2026-02-08T00:36:01Z	2026-02-08T04:07:22Z	2026-02-08T04:07:18Z	main	67038
llm-washing-machine-claude	Hypogenic-AI/llm-washing-machine-claude	git@github.com:Hypogenic-AI/llm-washing-machine-claude.git	https://github.com/Hypogenic-AI/llm-washing-machine-claude.git	https://github.com/Hypogenic-AI/llm-washing-machine-claude	2026-02-08T00:36:59Z	2026-03-21T06:16:42Z	2026-03-21T06:16:35Z	main	305214
fix-user-intent-nlp-claude	Hypogenic-AI/fix-user-intent-nlp-claude	git@github.com:Hypogenic-AI/fix-user-intent-nlp-claude.git	https://github.com/Hypogenic-AI/fix-user-intent-nlp-claude.git	https://github.com/Hypogenic-AI/fix-user-intent-nlp-claude	2026-02-09T05:01:18Z	2026-02-09T06:42:08Z	2026-02-09T06:42:02Z	main	91288
